,gen1,gen1m,gen2,gen2m,gen3,gen3m,gen4,gen4m,gen5,gen5m,gen6,gen6m,gen7,gen7m,gen8,gen8m,gen9,gen9m,gen10,gen10m
17,0.16,0.23,0.15,0.18,0.23,0.34,0.15,0.16,0.2,0.17,0.15,0.25,0.15,0.58,0.29,0.3,0.22,0.19,0.18,0.39
18,0.12,0.14,0.13,0.29,0.21,0.19,0.19,0.22,0.26,0.33,0.15,0.24,0.14,0.12,0.22,0.29,0.17,0.19,0.14,0.25
19,0.18,0.72,0.2,0.21,0.2,0.76,0.28,0.21,0.16,0.6,0.2,0.23,0.25,0.27,0.17,0.17,0.15,0.14,0.22,0.25
20,0.19,0.25,0.2,0.2,0.16,0.19,0.19,0.18,0.26,0.3,0.2,0.23,0.16,0.31,0.14,0.18,0.22,0.29,0.21,0.23
21,0.17,0.23,0.26,0.15,0.24,0.22,0.17,0.18,0.23,0.13,0.18,0.24,0.27,0.64,0.18,0.29,0.19,0.33,0.17,0.25
22,0.24,0.31,0.13,0.27,0.17,0.14,0.2,0.22,0.22,0.21,0.21,0.24,0.13,0.17,0.19,0.17,0.2,0.27,0.21,0.32
23,0.23,0.19,0.19,0.1,0.28,0.35,0.16,0.28,0.14,0.16,0.2,0.29,0.15,0.22,0.25,0.32,0.19,0.25,0.21,0.25
24,0.21,0.19,0.21,0.24,0.23,0.26,0.13,0.13,0.2,0.18,0.28,0.16,0.2,0.21,0.19,0.26,0.24,0.35,0.27,0.38
25,0.33,0.3,0.15,0.17,0.21,0.29,0.26,0.24,0.2,0.31,0.23,0.21,0.22,0.13,0.21,0.43,0.16,0.17,0.21,0.22
26,0.22,0.2,0.1,0.17,0.21,0.31,0.19,0.19,0.23,0.21,0.18,0.38,0.19,0.2,0.18,0.23,0.26,0.3,0.25,0.2
27,0.19,0.21,0.23,0.28,0.14,0.23,0.19,0.23,0.16,0.15,0.17,0.2,0.2,0.37,0.18,0.19,0.25,0.32,0.17,0.21
28,0.11,0.16,0.26,0.22,0.19,0.2,0.26,0.17,0.19,0.16,0.16,0.17,0.3,0.42,0.16,0.18,0.21,0.29,0.28,0.68
29,0.12,0.25,0.21,0.42,0.22,0.22,0.14,0.46,0.22,0.25,0.24,0.32,0.19,0.16,0.21,0.22,0.15,0.16,0.19,0.18
30,0.24,0.21,0.17,0.23,0.17,0.24,0.37,0.4,0.22,0.22,0.2,0.18,0.23,0.26,0.23,0.34,0.19,0.15,0.22,0.26
31,0.18,0.23,0.16,0.21,0.23,0.2,0.28,0.64,0.22,0.16,0.26,0.3,0.13,0.17,0.24,0.33,0.18,0.35,0.21,0.72
32,0.27,0.3,0.28,0.31,0.21,0.23,0.16,0.28,0.19,0.27,0.16,0.29,0.2,0.25,0.25,0.26,0.2,0.23,0.15,0.23
33,0.2,0.28,0.26,0.33,0.17,0.18,0.25,0.28,0.21,0.2,0.22,0.26,0.15,0.11,0.26,0.25,0.14,0.12,0.18,0.28
34,0.25,0.21,0.18,0.2,0.21,0.19,0.19,0.16,0.19,0.33,0.24,0.23,0.14,0.19,0.19,0.27,0.19,0.2,0.25,0.48
35,0.25,0.21,0.14,0.22,0.29,0.3,0.29,0.28,0.21,0.18,0.21,0.32,0.21,0.19,0.26,0.47,0.13,0.22,0.24,0.32
36,0.21,0.25,0.24,0.28,0.25,0.28,0.15,0.14,0.24,0.31,0.11,0.17,0.19,0.26,0.19,0.2,0.26,0.22,0.2,0.19
37,0.1,0.28,0.15,0.18,0.17,0.18,0.27,0.33,0.18,0.25,0.18,0.3,0.15,0.52,0.27,0.16,0.17,0.16,0.24,0.19
38,0.26,0.36,0.2,0.23,0.21,0.16,0.19,0.18,0.16,0.25,0.13,0.24,0.18,0.44,0.2,0.31,0.23,0.27,0.25,0.27
39,0.29,0.22,0.16,0.24,0.28,0.39,0.24,0.19,0.21,0.32,0.18,0.26,0.18,0.16,0.09,0.21,0.15,0.28,0.25,0.31
40,0.26,0.15,0.2,0.24,0.23,0.26,0.15,0.11,0.17,0.21,0.22,0.27,0.17,0.48,0.29,0.32,0.23,0.28,0.16,0.23
41,0.17,0.25,0.18,0.18,0.16,0.29,0.27,0.24,0.21,0.23,0.11,0.15,0.24,0.28,0.09,0.28,0.1,0.28,0.2,0.33
42,0.18,0.25,0.22,0.21,0.17,0.23,0.17,0.16,0.19,0.26,0.19,0.19,0.1,0.25,0.17,0.25,0.09,0.1,0.12,0.42
43,0.2,0.29,0.21,0.3,0.14,0.15,0.27,0.2,0.2,0.27,0.23,0.3,0.27,0.31,0.16,0.17,0.18,0.27,0.12,0.31
44,0.17,0.31,0.11,0.16,0.16,0.25,0.16,0.09,0.26,0.4,0.16,0.2,0.32,0.22,0.13,0.59,0.1,0.13,0.2,0.19
45,0.23,0.25,0.22,0.32,0.16,0.2,0.09,0.27,0.11,0.13,0.14,0.27,0.24,0.23,0.2,0.21,0.14,0.23,0.14,0.24
46,0.17,0.21,0.25,0.09,0.17,0.15,0.18,0.17,0.26,0.24,0.23,0.49,0.26,0.23,0.18,0.21,0.2,0.28,0.2,0.28
47,0.19,0.25,0.26,0.37,0.27,0.2,0.19,0.26,0.18,0.21,0.21,0.31,0.23,0.25,0.22,0.19,0.26,0.1,0.2,0.2
48,0.32,0.27,0.14,0.15,0.22,0.36,0.24,0.31,0.22,0.28,0.16,0.25,0.22,0.19,0.16,0.21,0.13,0.19,0.18,0.19
49,0.21,0.25,0.23,0.26,0.18,0.16,0.17,0.22,0.12,0.26,0.26,0.32,0.21,0.2,0.32,0.22,0.16,0.27,0.21,0.29
50,0.16,0.15,0.22,0.16,0.16,0.63,0.12,0.14,0.19,0.16,0.25,0.27,0.25,0.49,0.06,0.11,0.24,0.19,0.22,0.3
51,0.22,0.23,0.21,0.24,0.19,0.19,0.15,0.22,0.22,0.29,0.25,0.29,0.23,0.23,0.19,0.21,0.24,0.31,0.15,0.33
52,0.19,0.24,0.16,0.17,0.18,0.16,0.23,0.3,0.24,0.35,0.23,0.26,0.18,0.16,0.11,0.12,0.18,0.11,0.15,0.25
53,0.15,0.28,0.15,0.21,0.23,0.17,0.16,0.25,0.18,0.27,0.18,0.22,0.2,0.32,0.2,0.2,0.19,0.33,0.17,0.22
54,0.19,0.18,0.18,0.22,0.19,0.24,0.24,0.22,0.2,0.14,0.17,0.27,0.19,0.24,0.16,0.34,0.23,0.18,0.17,0.18
55,0.25,0.22,0.3,0.39,0.13,0.13,0.08,0.09,0.16,0.27,0.27,0.22,0.2,0.2,0.21,0.22,0.18,0.17,0.15,0.25
56,0.17,0.18,0.14,0.14,0.17,0.2,0.32,0.37,0.19,0.13,0.14,0.2,0.28,0.34,0.17,0.18,0.12,0.28,0.12,0.18
57,0.24,0.33,0.27,0.3,0.25,0.21,0.15,0.4,0.27,0.21,0.16,0.21,0.2,0.22,0.25,0.28,0.24,0.47,0.2,0.19
58,0.24,0.33,0.21,0.32,0.2,0.17,0.28,0.29,0.17,0.17,0.22,0.65,0.24,0.26,0.21,0.21,0.18,0.16,0.19,0.26
59,0.23,0.27,0.21,0.17,0.2,0.16,0.11,0.14,0.18,0.18,0.2,0.23,0.25,0.25,0.22,0.37,0.2,0.18,0.2,0.33
60,0.2,0.15,0.16,0.18,0.19,0.17,0.13,0.17,0.18,0.37,0.13,0.17,0.18,0.25,0.19,0.18,0.27,0.25,0.22,0.23
61,0.07,0.25,0.19,0.21,0.16,0.18,0.25,0.27,0.26,0.21,0.3,0.38,0.25,0.27,0.36,0.41,0.26,0.24,0.12,0.19
62,0.15,0.22,0.15,0.23,0.19,0.19,0.19,0.19,0.24,0.26,0.2,0.31,0.23,0.26,0.25,0.36,0.23,0.44,0.33,0.38
63,0.22,0.27,0.09,0.72,0.21,0.13,0.17,0.17,0.15,0.15,0.19,0.18,0.23,0.3,0.23,0.27,0.23,0.22,0.17,0.15
64,0.2,0.23,0.14,0.17,0.12,0.17,0.26,0.31,0.21,0.21,0.22,0.23,0.16,0.24,0.19,0.14,0.23,0.22,0.18,0.2
65,0.25,0.25,0.22,0.1,0.15,0.24,0.16,0.18,0.22,0.28,0.22,0.24,0.13,0.22,0.18,0.24,0.13,0.24,0.1,0.3
66,0.24,0.24,0.09,0.13,0.16,0.34,0.17,0.17,0.21,0.3,0.2,0.22,0.24,0.23,0.18,0.24,0.17,0.14,0.22,0.21
67,0.19,0.16,0.16,0.25,0.19,0.44,0.25,0.27,0.18,0.58,0.16,0.14,0.12,0.13,0.19,0.21,0.21,0.16,0.16,0.16
68,0.18,0.29,0.18,0.24,0.17,0.29,0.17,0.24,0.24,0.27,0.18,0.23,0.22,0.29,0.17,0.19,0.15,0.17,0.22,0.27
69,0.22,0.42,0.22,0.42,0.2,0.29,0.23,0.68,0.16,0.24,0.23,0.22,0.13,0.18,0.16,0.3,0.2,0.17,0.12,0.24
70,0.18,0.14,0.23,0.2,0.2,0.32,0.24,0.35,0.27,0.35,0.22,0.21,0.28,0.28,0.17,0.22,0.15,0.29,0.21,0.33
71,0.13,0.23,0.2,0.18,0.16,0.21,0.2,0.16,0.18,0.23,0.17,0.25,0.15,0.25,0.2,0.25,0.25,0.41,0.27,0.26
72,0.18,0.16,0.16,0.23,0.2,0.19,0.14,0.29,0.19,0.2,0.18,0.8,0.3,0.26,0.12,0.19,0.14,0.18,0.14,0.23
73,0.25,0.26,0.25,0.23,0.28,0.32,0.19,0.17,0.21,0.26,0.3,0.27,0.16,0.22,0.19,0.55,0.18,0.21,0.17,0.25
74,0.15,0.21,0.19,0.2,0.22,0.22,0.13,0.2,0.21,0.25,0.15,0.19,0.18,0.22,0.33,0.46,0.21,0.19,0.22,0.2
75,0.11,0.25,0.13,0.24,0.23,0.21,0.21,0.25,0.13,0.16,0.2,0.26,0.14,0.16,0.24,0.3,0.14,0.19,0.1,0.16
76,0.19,0.26,0.19,0.12,0.21,0.26,0.21,0.21,0.24,0.29,0.16,0.23,0.18,0.22,0.19,0.22,0.24,0.28,0.18,0.21
77,0.21,0.18,0.16,0.18,0.23,0.19,0.27,0.27,0.17,0.26,0.24,0.15,0.26,0.25,0.21,0.26,0.2,0.14,0.2,0.37
78,0.2,0.27,0.26,0.45,0.26,0.46,0.11,0.17,0.12,0.28,0.12,0.21,0.27,0.16,0.13,0.12,0.11,0.21,0.2,0.22
79,0.17,0.27,0.15,0.28,0.22,0.15,0.24,0.16,0.3,0.28,0.17,0.21,0.22,0.22,0.18,0.31,0.22,0.26,0.24,0.18
80,0.14,0.2,0.16,0.4,0.25,0.22,0.21,0.21,0.17,0.27,0.09,0.15,0.17,0.11,0.13,0.19,0.22,0.25,0.15,0.38
81,0.18,0.38,0.22,0.27,0.16,0.21,0.13,0.14,0.28,0.32,0.23,0.25,0.23,0.18,0.2,0.17,0.13,0.69,0.22,0.28
82,0.2,0.21,0.25,0.27,0.21,0.17,0.17,0.16,0.23,0.32,0.2,0.32,0.26,0.26,0.36,0.51,0.13,0.16,0.22,0.27
83,0.16,0.29,0.17,0.28,0.16,0.22,0.24,0.24,0.19,0.23,0.2,0.31,0.21,0.17,0.26,0.26,0.26,0.31,0.21,0.21
84,0.23,0.2,0.22,0.24,0.14,0.36,0.15,0.15,0.25,0.27,0.21,0.23,0.29,0.35,0.19,0.2,0.2,0.35,0.17,0.19
85,0.22,0.2,0.15,0.21,0.21,0.27,0.23,0.23,0.18,0.35,0.27,0.19,0.17,0.22,0.19,0.21,0.16,0.22,0.17,0.2
86,0.2,0.16,0.14,0.15,0.26,0.26,0.25,0.25,0.19,0.22,0.17,0.27,0.18,0.16,0.18,0.22,0.22,0.24,0.2,0.33
87,0.25,0.3,0.2,0.27,0.2,0.27,0.23,0.18,0.13,0.13,0.27,0.33,0.16,0.17,0.13,0.42,0.21,0.21,0.26,0.33
88,0.11,0.15,0.17,0.21,0.22,0.26,0.3,0.32,0.22,0.2,0.15,0.32,0.16,0.19,0.18,0.26,0.2,0.37,0.29,0.32
89,0.21,0.19,0.28,0.42,0.18,0.18,0.14,0.26,0.14,0.16,0.25,0.14,0.16,0.14,0.25,0.34,0.1,0.23,0.19,0.18
90,0.12,0.16,0.22,0.34,0.2,0.17,0.23,0.19,0.12,0.18,0.24,0.24,0.16,0.11,0.26,0.25,0.18,0.15,0.21,0.44
91,0.31,0.41,0.21,0.08,0.18,0.33,0.18,0.28,0.26,0.34,0.18,0.21,0.15,0.2,0.21,0.26,0.11,0.12,0.2,0.25
92,0.23,0.34,0.27,0.3,0.18,0.35,0.18,0.51,0.15,0.21,0.22,0.32,0.12,0.51,0.24,0.26,0.25,0.23,0.15,0.25
93,0.26,0.22,0.15,0.24,0.19,0.2,0.16,0.29,0.18,0.16,0.16,0.24,0.07,0.14,0.12,0.19,0.17,0.26,0.14,0.29
94,0.28,0.35,0.17,0.17,0.15,0.75,0.15,0.22,0.23,0.08,0.24,0.37,0.23,0.29,0.17,0.24,0.18,0.18,0.2,0.16
95,0.21,0.21,0.28,0.38,0.22,0.3,0.13,0.16,0.28,0.25,0.23,0.3,0.2,0.15,0.13,0.2,0.22,0.31,0.24,0.24
96,0.17,0.18,0.24,0.33,0.15,0.23,0.14,0.29,0.2,0.25,0.15,0.64,0.23,0.24,0.19,0.26,0.2,0.42,0.32,0.14
97,0.15,0.55,0.18,0.3,0.27,0.22,0.2,0.27,0.1,0.16,0.23,0.18,0.3,0.27,0.24,0.23,0.28,0.15,0.16,0.14
98,0.18,0.33,0.25,0.31,0.36,0.32,0.13,0.16,0.18,0.28,0.24,0.27,0.27,0.33,0.15,0.23,0.18,0.32,0.21,0.22
99,0.18,0.19,0.23,0.28,0.12,0.27,0.19,0.17,0.16,0.16,0.14,0.19,0.2,0.2,0.2,0.66,0.21,0.19,0.28,0.25
